zip_code,city,region,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,California,2026-04-13,70.2,51.4,Sunny
90045,Los Angeles,California,2026-04-14,66.0,55.6,Sunny
90045,Los Angeles,California,2026-04-15,61.9,56.1,Cloudy 
90045,Los Angeles,California,2026-04-16,66.4,56.7,Mist
90045,Los Angeles,California,2026-04-17,69.7,59.8,Sunny
90045,Los Angeles,California,2026-04-18,69.0,63.7,Sunny
90045,Los Angeles,California,2026-04-19,66.8,60.6,Patchy rain nearby
10001,New York,New York,2026-04-13,85.5,46.0,Patchy rain nearby
10001,New York,New York,2026-04-14,86.0,59.4,Sunny
10001,New York,New York,2026-04-15,90.0,66.7,Sunny
10001,New York,New York,2026-04-16,83.7,67.6,Overcast 
10001,New York,New York,2026-04-17,78.6,65.5,Patchy rain nearby
10001,New York,New York,2026-04-18,66.0,52.7,Overcast 
10001,New York,New York,2026-04-19,69.3,52.7,Overcast 
60601,Chicago,Illinois,2026-04-13,75.4,54.0,Patchy rain nearby
60601,Chicago,Illinois,2026-04-14,68.2,59.5,Patchy rain nearby
60601,Chicago,Illinois,2026-04-15,52.3,43.3,Heavy rain
60601,Chicago,Illinois,2026-04-16,71.8,46.9,Moderate rain
60601,Chicago,Illinois,2026-04-17,68.1,48.2,Patchy rain nearby
60601,Chicago,Illinois,2026-04-18,65.7,50.6,Patchy rain nearby
60601,Chicago,Illinois,2026-04-19,46.7,37.9,Partly Cloudy 
98101,Seattle,Washington,2026-04-13,55.4,43.9,Patchy rain nearby
98101,Seattle,Washington,2026-04-14,47.8,42.6,Heavy rain
98101,Seattle,Washington,2026-04-15,44.1,38.8,Heavy rain
98101,Seattle,Washington,2026-04-16,55.0,36.9,Patchy rain nearby
98101,Seattle,Washington,2026-04-17,51.8,39.0,Patchy rain nearby
98101,Seattle,Washington,2026-04-18,60.7,40.8,Patchy rain nearby
98101,Seattle,Washington,2026-04-19,49.0,43.9,Patchy rain nearby
33101,Miami,Florida,2026-04-13,81.9,67.5,Sunny
33101,Miami,Florida,2026-04-14,76.3,70.3,Partly Cloudy 
33101,Miami,Florida,2026-04-15,79.3,67.6,Partly Cloudy 
33101,Miami,Florida,2026-04-16,80.2,69.8,Partly Cloudy 
33101,Miami,Florida,2026-04-17,80.4,76.3,Patchy rain nearby
33101,Miami,Florida,2026-04-18,80.8,76.2,Patchy rain nearby
33101,Miami,Florida,2026-04-19,81.1,76.3,Partly Cloudy 
77001,Houston,Texas,2026-04-13,86.2,70.5,Patchy rain nearby
77001,Houston,Texas,2026-04-14,80.1,70.2,Overcast 
77001,Houston,Texas,2026-04-15,81.3,69.6,Overcast 
77001,Houston,Texas,2026-04-16,86.3,70.3,Partly Cloudy 
77001,Houston,Texas,2026-04-17,86.3,69.4,Partly Cloudy 
77001,Houston,Texas,2026-04-18,83.7,69.9,Patchy rain nearby
77001,Houston,Texas,2026-04-19,82.4,67.2,Patchy rain nearby
85001,Phoenix,Arizona,2026-04-13,84.0,63.1,Sunny
85001,Phoenix,Arizona,2026-04-14,80.1,55.4,Sunny
85001,Phoenix,Arizona,2026-04-15,86.5,57.0,Sunny
85001,Phoenix,Arizona,2026-04-16,86.3,59.9,Sunny
85001,Phoenix,Arizona,2026-04-17,79.9,61.4,Sunny
85001,Phoenix,Arizona,2026-04-18,83.7,64.2,Partly Cloudy 
85001,Phoenix,Arizona,2026-04-19,88.5,69.6,Sunny
19101,Philadelphia,Pennsylvania,2026-04-13,89.4,50.7,Patchy rain nearby
19101,Philadelphia,Pennsylvania,2026-04-14,88.3,60.1,Sunny
19101,Philadelphia,Pennsylvania,2026-04-15,91.4,65.5,Sunny
19101,Philadelphia,Pennsylvania,2026-04-16,86.2,66.6,Overcast 
19101,Philadelphia,Pennsylvania,2026-04-17,80.2,66.4,Patchy rain nearby
19101,Philadelphia,Pennsylvania,2026-04-18,78.0,61.4,Sunny
19101,Philadelphia,Pennsylvania,2026-04-19,68.4,52.4,Patchy rain nearby
78201,San Antonio,Texas,2026-04-13,92.7,71.4,Patchy rain nearby
78201,San Antonio,Texas,2026-04-14,86.9,69.4,Overcast 
78201,San Antonio,Texas,2026-04-15,86.0,69.4,Overcast 
78201,San Antonio,Texas,2026-04-16,90.2,67.8,Overcast 
78201,San Antonio,Texas,2026-04-17,88.7,67.3,Patchy rain nearby
78201,San Antonio,Texas,2026-04-18,76.8,59.5,Patchy rain nearby
78201,San Antonio,Texas,2026-04-19,71.4,58.3,Patchy rain nearby
92101,San Diego,California,2026-04-13,67.5,56.1,Partly Cloudy 
92101,San Diego,California,2026-04-14,67.8,59.2,Partly Cloudy 
92101,San Diego,California,2026-04-15,66.9,57.2,Partly Cloudy 
92101,San Diego,California,2026-04-16,65.0,57.7,Overcast 
92101,San Diego,California,2026-04-17,70.5,58.4,Sunny
92101,San Diego,California,2026-04-18,69.3,62.5,Overcast 
92101,San Diego,California,2026-04-19,66.4,60.2,Partly Cloudy 
75201,Dallas,Texas,2026-04-13,84.6,66.7,Overcast 
75201,Dallas,Texas,2026-04-14,85.5,68.2,Overcast 
75201,Dallas,Texas,2026-04-15,78.4,68.2,Overcast 
75201,Dallas,Texas,2026-04-16,86.3,66.6,Overcast 
75201,Dallas,Texas,2026-04-17,78.7,66.9,Patchy rain nearby
75201,Dallas,Texas,2026-04-18,67.7,53.8,Patchy rain nearby
75201,Dallas,Texas,2026-04-19,75.1,52.9,Sunny
95101,San Jose,California,2026-04-13,68.2,51.3,Patchy rain nearby
95101,San Jose,California,2026-04-14,62.6,45.8,Partly Cloudy 
95101,San Jose,California,2026-04-15,63.0,48.2,Partly Cloudy 
95101,San Jose,California,2026-04-16,65.9,45.2,Partly Cloudy 
95101,San Jose,California,2026-04-17,69.4,42.0,Sunny
95101,San Jose,California,2026-04-18,67.7,45.9,Partly Cloudy 
95101,San Jose,California,2026-04-19,52.5,41.0,Patchy rain nearby
78701,Austin,Texas,2026-04-13,89.2,70.5,Patchy rain nearby
78701,Austin,Texas,2026-04-14,86.4,68.7,Overcast 
78701,Austin,Texas,2026-04-15,86.5,68.5,Overcast 
78701,Austin,Texas,2026-04-16,89.2,68.0,Overcast 
78701,Austin,Texas,2026-04-17,89.6,66.9,Patchy rain nearby
78701,Austin,Texas,2026-04-18,75.1,56.9,Moderate rain
78701,Austin,Texas,2026-04-19,69.4,56.7,Patchy rain nearby
30301,Atlanta,Georgia,2026-04-13,88.5,56.5,Sunny
30301,Atlanta,Georgia,2026-04-14,85.5,62.1,Sunny
30301,Atlanta,Georgia,2026-04-15,85.8,66.0,Sunny
30301,Atlanta,Georgia,2026-04-16,85.5,63.0,Overcast 
30301,Atlanta,Georgia,2026-04-17,89.3,64.5,Sunny
30301,Atlanta,Georgia,2026-04-18,85.8,67.0,Sunny
30301,Atlanta,Georgia,2026-04-19,77.1,64.2,Partly Cloudy 
28201,Charlotte,North Carolina,2026-04-13,84.2,58.8,Sunny
28201,Charlotte,North Carolina,2026-04-14,86.9,63.3,Sunny
28201,Charlotte,North Carolina,2026-04-15,86.2,65.5,Sunny
28201,Charlotte,North Carolina,2026-04-16,85.7,66.9,Overcast 
28201,Charlotte,North Carolina,2026-04-17,87.9,62.1,Sunny
